Mensagem,solicita_senha,solicita_codigo_autenticacao,solicita_dados_bancarios,solicita_dados_pessoais,solicita_dados_cartao,solicita_atualizacao_cadastro,solicita_pagamento,solicita_clique,solicita_ligacao,menciona_bloqueio_conta,carga_emocional,possui_urgencia,possui_ameaca,possui_linguagem_alarmista,possui_recompensa,possui_reembolso,possui_vantagem_inesperada,possui_oferta_financeira,possui_url,possui_url_encurtada,possui_telefone,possui_pix,possui_erros_ortografia_gramatica,possui_chamada_acao,possivel_golpe,Coluna 27
"Claro Multi ta na sua com oferta especial: 600 MEGA de internet em casa + Claro Pos 60 GB por R$139,80/mes. Veja+ claro.com.br/vm0i ou ligue 0800 769 1790",0,0,0,0,0,0,0,1,1,0,Baixo,0,0,0,0,0,0,1,1,1,1,0,1,1,0,
"<NOME>, EVITE PROTESTO referente debito KOIN, confira OFERTA EXCLUSIVA para limpar seu nome! Negocie no Whats wa.me/551498170747",0,0,0,0,0,0,1,1,0,0,Alto,1,1,1,0,0,0,1,1,1,1,0,1,1,0,
"iFood Surpreende! Voce acaba de ganhar R$2.000,00 em cupom. Garanta aqui https://curt.link/ouiWRA",0,0,0,0,0,0,0,1,0,0,Médio,1,0,1,1,0,1,1,1,1,0,0,1,1,1,
Suhai enviou um e-mail sobre o pagamento pendente. Por favor verifique seu spam ou se preferir clique: https://sone.run/c2dH5U1,0,0,0,0,0,0,1,1,0,0,Médio,0,0,0,0,0,0,0,1,1,0,0,0,1,1,
[99 Food] Oi da 99Food! Obrigado pela visita! Guardamos seu presente de boas-vindas: 60% OFF + Frete Gratis! So esta semana. Peca agora>https://dd.me/TbeRJSn,0,0,0,0,0,0,0,1,0,0,Médio,1,0,0,1,0,0,1,1,1,0,0,1,1,1,
"Dps de 2.350 transplantes realizados, Dr. <NOME> e Dra. Leticia decidiram criar um novo metodo de transplante capilar em Campinas. Quer entender? responda OK",0,0,0,0,0,0,0,0,0,0,Baixo,0,0,0,0,0,0,1,0,0,0,0,1,1,0,
A Suhai enviou um e-mail sobre o pagamento pendente. Por favor verifique seu spam ou se preferir clique: https://sone.run/1M0kU1,0,0,0,0,0,0,1,1,0,0,Médio,0,0,0,0,0,0,0,1,1,0,0,0,1,1,
[99Pay]Seu credito chegou! R$3.628 pre-aprovados na 99 pra voce usar como quiser! Simule no app. https://oia.99app.com/99/Phs2NJh (Suj. a analise de credito),0,0,0,0,0,0,0,1,0,0,Médio,0,0,0,0,0,1,1,1,1,0,0,1,1,0,
[99Pay]Seu credito chegou! R$3.628 pre-aprovados na 99 pra voce usar como quiser! Simule no app. https://oia.99app.com/99/w3J46ol (Suj. a analise de credito),0,0,0,0,0,0,0,1,0,0,Médio,0,0,0,0,0,1,1,1,1,0,0,1,1,0,
C?digo de login em Ativas Farma: 0564 @ativasfarma.com.br #0564,0,1,0,0,0,0,0,0,0,0,Baixo,0,0,0,0,0,0,0,0,0,0,0,1,0,0,
A Suhai enviou um e-mail sobre o pagamento pendente. Por favor verifique seu spam ou se preferir clique: https://sone.run/ewVp5I1,0,0,0,0,0,0,1,1,0,0,Médio,0,0,0,0,0,0,0,1,1,0,0,0,1,1,
Cartoes Santander com limite de ate R$20mil. Garanta limite que vc sempre quis e beneficios como desconto na anuidade e ate cashback: https://clarobr.co/3zKLK9s,0,0,0,0,0,0,0,1,0,0,Baixo,0,0,0,0,0,0,1,1,1,0,0,1,1,0,
"Aproveite Cartao Santander com limite de ate R$20mil, alem de beneficios como pontos Esfera p/trocar por viagens, produtos, servicos: https://clarobr.co/3zKLK9s",0,0,0,0,0,0,0,1,0,0,Baixo,0,0,0,0,0,0,1,1,1,0,0,1,1,0,
"Agora voce pode ter um Cartao Santander com limite de ate R$20 mil e aproveitar em compras, viagens e mais possibilidades: https://clarobr.co/3zKLK9s",0,0,0,0,0,0,0,1,0,0,Baixo,0,0,0,0,0,0,1,1,1,0,0,1,1,0,
"Claro: Mordida Premiada Elmachips, concorra a R$ 500 a cada 5 minutos! Acesse o site e faca seu cadastro https://bit.ly/Elmachips-ClaroRecompensas",0,0,0,1,0,1,0,1,0,0,Médio,0,0,0,1,0,0,1,1,1,0,0,1,1,0,
Associe-se ao Sams Club e aproveite uma experiencia exclusiva na sua primeira compra! Nao perca! https://bit.ly/-SamsClub,0,0,0,0,0,0,0,1,0,0,Baixo,0,0,0,0,0,0,1,1,1,0,0,1,1,0,
PicPay - Cartao de credito sem anuidade e conta digital completa. Garanta o seu PicPay Card agora mesmo. Baixe o APP: https://bit.ly/4gyVGlY,0,0,0,0,0,0,0,1,0,0,Baixo,0,0,0,0,0,0,1,1,1,0,0,1,1,0,
"PicPay - Cartao de credito com limite de ate R$10 mil e 0,5% de cashback em compras no credito. Garanta seu Card Platinum agora mesmo: https://bit.ly/49GWJ12",0,0,0,0,0,0,0,1,0,0,Baixo,0,0,0,0,0,0,1,1,1,0,0,1,1,0,
"PicPay - Cartao de credito com o melhor cashback, acesso a sala VIP em GRU e muito mais. Garanta o seu PicPay Card agora mesmo: https://bit.ly/3BsW8U5",0,0,0,0,0,0,0,1,0,0,Baixo,0,0,0,0,0,0,1,1,1,0,0,1,1,0,
Aprenda com quem e referencia! Aproveite as vantagens exclusivas na Fisk. Faca a sua pre-matricula: https://adsclaro.com/Fisk_SMS,0,0,0,0,0,1,0,1,0,0,Baixo,0,0,0,0,0,0,1,1,1,0,0,1,1,0,
Amazon Music incluso com Prime. Ouca musicas e podcasts sem anuncios quando quiser. Abra o app e comece agora: https://adsclaro.com/Amazon,0,0,0,0,0,0,0,1,0,0,Baixo,0,0,0,0,0,0,1,1,1,0,0,1,1,0,
"Ouca musicas e podcasts sem anuncios.Playlists para cada momento, downloads para ouvir offline e mais. Amazon Music, ouca agora: https://adsclaro.com/Amazon",0,0,0,0,0,0,0,1,0,0,Baixo,0,0,0,0,0,0,1,1,1,0,0,1,1,0,
"Livelo: No Mes do Consumidor Livelo, seus pontos viram viagens! Junte em marcas parceiras e troque por passagens. Veja: https://adsclaro.com/Livelo_SMS",0,0,0,0,0,0,0,1,0,0,Baixo,0,0,0,0,0,0,1,1,1,0,0,1,1,0,
"Livelo: A Livelo te ajuda a viajar! Compre em suas marcas favoritas, junte pontos e troque por passagens e carros. App: https://adsclaro.com/Livelo_SMS",0,0,0,0,0,0,0,1,0,0,Baixo,0,0,0,0,0,0,1,1,1,0,0,1,1,0,
"C6 Bank: tenha o Cartao C6 Black com pontos que nao expiram, cashback e muitos beneficios exclusivos. Abra sua conta! https://adsclaro.com/C6Black_SMS",0,0,0,0,0,1,0,1,0,0,Baixo,0,0,0,0,0,0,1,1,1,0,0,1,1,0,
"C6 Bank: Mais vantagens com o Cartao C6 Black, incluindo pontos e beneficios exclusivos. Confira! https://adsclaro.com/C6Black_SMS",0,0,0,0,0,0,0,1,0,0,Baixo,0,0,0,0,0,0,1,1,1,0,0,1,1,0,
C6 Bank: Dinheiro na conta ja! Credito facil direto no app C6 Bank com liberacao rapida. Simule em poucos minutos :https://adsclaro.com/C6_SMS,0,0,0,0,0,0,0,1,0,0,Médio,1,0,0,0,0,0,1,1,1,0,0,1,1,0,
C6 Bank: Credito sem burocracia no C6 Bank. Veja taxas claras e escolha parcelas que cabem no seu bolso. Peca hoje https://adsclaro.com/C6_SMS,0,0,0,0,0,0,0,1,0,0,Baixo,0,0,0,0,0,0,1,1,1,0,0,1,1,0,
C6 Bank: Emprestimo rapido online. Simule direto pelo app C6 Bank e receba o dinheiro de forma simples e segura. Veja: https://adsclaro.com/C6_SMS,0,0,0,0,0,0,0,1,0,0,Baixo,0,0,0,0,0,0,1,1,1,0,0,1,1,0,
"Acompanhe frentes frias, chuva e vento em tempo real. Tenha previsoes confiaveis com o 1Weather. Baixe: https://adsclaro.com/1weather",0,0,0,0,0,0,0,1,0,0,Baixo,0,0,0,0,0,0,0,1,1,0,0,1,1,0,
Confira a previsao antes de sair de casa. O 1Weather ajuda voce a planejar o dia. Baixe: https://adsclaro.com/1weather,0,0,0,0,0,0,0,1,0,0,Baixo,0,0,0,0,0,0,0,1,1,0,0,1,1,0,
"Nao deixe o clima te pegar de surpresa. Baixe o 1Weather e tenha radar, previsao e alertas na palma da mao: https://adsclaro.com/1weather",0,0,0,0,0,0,0,1,0,0,Baixo,0,0,0,0,0,0,0,1,1,0,0,1,1,0,
"PoD Academy: <NOME>, estamos ao vivo com <NOME> Jardim, vem descobrir como se preparar para o mercado de dados. Entre agora: https://rd-br.com/GQzDoI",0,0,0,0,0,0,0,1,0,0,Médio,1,0,0,0,0,0,0,1,1,0,0,1,1,0,
Voce atingiu 100% do seu Bonus de Internet. Quer saber mais sobre o seu Prezao? Baixe gratis o app Minha Claro.,0,0,0,0,0,0,0,0,0,0,Baixo,0,0,0,0,0,0,0,0,0,0,0,1,1,0,
A internet do seu plano sera renovada em ate 24 horas. Aproveite para acompanhar o seu consumo na Minha Claro. Acesse o aplicativo goo.gl/7qbtaU,0,0,0,0,0,0,0,1,0,0,Baixo,0,0,0,0,0,0,0,1,1,0,0,1,1,0,
Vc usou 80% do seu plano de internet. Consulte seu consumo quando quiser pelo app Minha Claro.,0,0,0,0,0,0,0,0,0,0,Baixo,0,0,0,0,0,0,0,0,0,0,0,1,1,0,
Voce atingiu 100% do seu pacote de internet. Contrate um novo pacote para voltar a navegar. Responda SIM e conheca as opcoes de pacote.,0,0,0,0,0,0,1,0,0,0,Baixo,0,0,0,0,0,0,1,0,0,0,0,1,1,0,
"Envie 1 p/ Pacote 1GB R$20,00, 2 p/ Pacote 3GB R$30,00, 3 p/ Pacote 500MB R$15,00",0,0,0,0,0,0,1,0,0,0,Baixo,0,0,0,0,0,0,1,0,0,0,0,1,1,0,
"Confirma a compra do Pacote adicional de Internet 1GB, validos ate a renovacao da sua franquia, por R$ R$20,00? 1 - Sim 2 - Nao",0,0,0,0,0,0,1,0,0,0,Baixo,0,0,0,0,0,0,1,0,0,0,0,1,1,0,
Pronto! Sua internet foi ativada. Seu protocolo eh 2024770542439 1 - Comprar aparelho 2 - Sair,0,0,0,0,0,0,0,0,0,0,Baixo,0,0,0,0,0,0,0,0,0,0,0,1,1,0,
Pronto! Sua internet foi ativada. Seu protocolo eh 2025791936783 1 - Comprar aparelho 2 - Sair,0,0,0,0,0,0,0,0,0,0,Baixo,0,0,0,0,0,0,0,0,0,0,0,1,1,0,
"Envie 1 p/ Pacote 3GB R$30,00, 2 p/ Pacote 1GB R$20,00, 3 p/ Pacote 500MB R$15,00",0,0,0,0,0,0,1,0,0,0,Baixo,0,0,0,0,0,0,1,0,0,0,0,1,1,0,
"Confirma a compra do Pacote adicional de Internet 500MB, validos ate a renovacao da sua franquia, por R$ R$15,00? 1 - Sim 2 - Nao",0,0,0,0,0,0,1,0,0,0,Baixo,0,0,0,0,0,0,1,0,0,0,0,1,1,0,
Pronto! Sua internet foi ativada. Seu protocolo eh 2025798865969 1 - Comprar aparelho 2 - Sair,0,0,0,0,0,0,0,0,0,0,Baixo,0,0,0,0,0,0,0,0,0,0,0,1,1,0,
Pronto! Sua internet foi ativada. Seu protocolo eh 2025818894614 1 - Comprar aparelho 2 - Sair,0,0,0,0,0,0,0,0,0,0,Baixo,0,0,0,0,0,0,0,0,0,0,0,1,1,0,
"Ola, vc usou 80% do pacote de internet. Consulte seu consumo e aproveite p/ dar um Up no plano! Confira ofertas exclusivas no app Minha Claro: claro-e.com/pWthO",0,0,0,0,0,0,0,1,0,0,Baixo,0,0,0,0,0,0,1,1,1,0,0,1,1,0,
"Ola, voce usou 100% do seu pacote de internet. P/ voltar a navegar responda SIM p/ contratar um pacote avulso ou de um Up no seu plano no app: claro-e.com/9jVRD",0,0,0,0,0,0,1,1,0,0,Baixo,0,0,0,0,0,0,1,1,1,0,0,1,1,0,
"Confirma a compra do Pacote adicional de Internet 3GB, validos ate a renovacao da sua franquia, por R$ R$30,00? 1 - Sim 2 - Nao",0,0,0,0,0,0,1,0,0,0,Baixo,0,0,0,0,0,0,1,0,0,0,0,1,1,0,
"Opcao informada invalida. Confirma a compra do Pacote adicional de Internet 3GB, validos ate a renovacao da sua franquia, por R$ R$30,00? 1 - Sim 2 - Nao",0,0,0,0,0,0,1,0,0,0,Baixo,0,0,0,0,0,0,1,0,0,0,0,1,1,0,
Pronto! Sua internet foi ativada. Seu protocolo eh 2025993744178 1 - Comprar aparelho 2 - Sair,0,0,0,0,0,0,0,0,0,0,Baixo,0,0,0,0,0,0,0,0,0,0,0,1,1,0,
Conhecer livros em apenas 15 minutos? No app Minibooks incluso no seu plano vc le e ouve resumos dos melhores livros. Baixe https://skeelominibooks.com.br/loja,0,0,0,0,0,0,0,1,0,0,Baixo,0,0,0,0,0,0,0,1,0,0,0,1,1,0,
Vc quer ler os livros + vendidos do Brasil? Com o app Skeelo incluido no seu plano vc pode. Escolha seu livro e bom divertimento! Baixe https://skeelo.app/loja,0,0,0,0,0,0,0,1,0,0,Baixo,0,0,0,0,0,0,0,1,0,0,0,1,1,0,
"Os livros que voce recebeu estao te esperando, sabia? Cliente Claro tem o Skeelo incluso no plano! Escolha sua proxima leitura no app: https://is.gd/UYA9nd",0,0,0,0,0,0,0,1,0,0,Baixo,0,0,0,0,0,0,0,1,1,0,0,1,1,0,
"Todo mes, um novo livro para voce! Cliente Claro tem acesso ao Skeelo sem custo adicional. Escolha sua leitura: https://is.gd/9DpCPF",0,0,0,0,0,0,0,1,0,0,Baixo,0,0,0,0,0,0,0,1,1,0,0,1,1,0,
O livro Redescobrindo a beleza da vida foi liberado pra voce no Skeelo. Abra o app e mergulhe na leitura https://skeelo.onelink.me/zmtI/sd5v043b,0,0,0,0,0,0,0,1,0,0,Baixo,0,0,0,0,0,0,0,1,1,0,0,1,1,0,
O livro Mente Saudavel foi liberado pra voce no Skeelo. Abra o app e mergulhe na leitura https://skeelo.onelink.me/zmtI/sd5v043b,0,0,0,0,0,0,0,1,0,0,Baixo,0,0,0,0,0,0,0,1,1,0,0,1,1,0,
O livro Capitalismo da atencao: Como a foi liberado pra voce no Skeelo. Abra o app e mergulhe na leitura https://skeelo.onelink.me/zmtI/sd5v043b,0,0,0,0,0,0,0,1,0,0,Baixo,0,0,0,0,0,0,0,1,1,0,0,1,1,0,
O livro O gato que amava livros foi liberado pra voce no Skeelo. Abra o app e mergulhe na leitura https://skeelo.onelink.me/zmtI/sd5v043b,0,0,0,0,0,0,0,1,0,0,Baixo,0,0,0,0,0,0,0,1,1,0,0,1,1,0,
O livro Matriarca: A autobiografia foi liberado pra voce no Skeelo. Abra o app e mergulhe na leitura https://skeelo.onelink.me/zmtI/sd5v043b,0,0,0,0,0,0,0,1,0,0,Baixo,0,0,0,0,0,0,0,1,1,0,0,1,1,0,
O livro Coracao sem medo foi liberado pra voce no Skeelo. Abra o app e mergulhe na leitura https://skeelo.onelink.me/zmtI/sd5v043b,0,0,0,0,0,0,0,1,0,0,Baixo,0,0,0,0,0,0,0,1,1,0,0,1,1,0,
O livro Reprograme-se: Proteja seu cer foi liberado pra voce no Skeelo. Abra o app e mergulhe na leitura https://skeelo.onelink.me/zmtI/sd5v043b,0,0,0,0,0,0,0,1,0,0,Baixo,0,0,0,0,0,0,0,1,1,0,0,1,1,0,
O livro O que importa de verdade foi liberado pra voce no Skeelo. Abra o app e mergulhe na leitura https://skeelo.onelink.me/zmtI/sd5v043b,0,0,0,0,0,0,0,1,0,0,Baixo,0,0,0,0,0,0,0,1,1,0,0,1,1,0,
O livro 20 Poemas e um segredo foi liberado pra voce no Skeelo. Abra o app e mergulhe na leitura https://skeelo.onelink.me/zmtI/sd5v043b,0,0,0,0,0,0,0,1,0,0,Baixo,0,0,0,0,0,0,0,1,1,0,0,1,1,0,
SKEELO: O livro Liberte-se de relacionamentos toxicos chegou! Abra o app e mergulhe na leitura https://skeelo.onelink.me/zmtI/sd5v043b,0,0,0,0,0,0,0,1,0,0,Baixo,0,0,0,0,0,0,0,1,1,0,0,1,1,0,
SKEELO: O livro O verdadeiro valor de lutar chegou! Abra o app e mergulhe na leitura https://skeelo.onelink.me/zmtI/sd5v043b,0,0,0,0,0,0,0,1,0,0,Baixo,0,0,0,0,0,0,0,1,1,0,0,1,1,0,
SKEELO: O livro Longe das aldeias chegou! Abra o app e mergulhe na leitura https://skeelo.onelink.me/zmtI/sd5v043b,0,0,0,0,0,0,0,1,0,0,Baixo,0,0,0,0,0,0,0,1,1,0,0,1,1,0,
"SKEELO: O livro Por elas, para elas: pequenas historias para grand chegou! Abra o app e mergulhe na leitura https://skeelo.onelink.me/zmtI/sd5v043b",0,0,0,0,0,0,0,1,0,0,Baixo,0,0,0,0,0,0,0,1,1,0,0,1,1,0,
BELLA CAPELA: 2 Pizzas Grandes (Frango c/ Requeijao + Calabresa) + Refri 2L de R$125 por R$109! P/ delivery/retirada: pedido.anota.ai/loja/bella-capela-1?f=msa,0,0,0,0,0,0,0,1,0,0,Baixo,0,0,0,0,0,0,1,1,0,0,0,1,1,0,
"https://amazon.com/a/c/r/1xrewm5b3y9jYAJjX4WPuedxQAmazon: Sign-in from SP, BR. Tap link to respond.",0,0,0,0,0,0,0,1,0,0,Médio,1,0,1,0,0,0,0,1,0,0,0,0,1,0,
"https://amazon.com.br/a/c/r/7f2Wju8nTnz6jv7dvgQQxfv22Amazon: Sign-in from SP, BR. Tap link to respond.",0,0,0,0,0,0,0,1,0,0,Médio,1,0,1,0,0,0,0,1,0,0,0,0,1,0,
"Use 326829 para validar seu telefone na OLX. Para proteger sua conta, nao compartilhe este codigo. Nao pedimos codigos por WhatsApp ou telefone.",0,1,0,0,0,0,0,0,0,0,Baixo,0,0,0,0,0,0,0,0,0,0,0,1,0,0,
"3m1Ew/Zt9XJAmazon: Your code is 499696. Don t share it. If you didn t request it, deny here https://amazon.com/a/c/r/1zv1pcvfLTr6AZHWNa6dIzXO3",0,1,0,0,0,0,0,1,0,0,Baixo,0,0,0,0,0,0,0,1,0,0,0,1,1,0,
"Amazon: Your code is 816874. Don t share it. If you didn t request it, deny here https://amazon.com/a/c/r/IgL20Hr6LI5bOUWactMAaazmg",0,1,0,0,0,0,0,1,0,0,Baixo,0,0,0,0,0,0,0,1,0,0,0,1,1,0,
G-106571 é seu código de verificação do Google.,0,1,0,0,0,0,0,0,0,0,Baixo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
G-864638 é seu código de verificação do Google.,0,1,0,0,0,0,0,0,0,0,Baixo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
G-733039 é seu código de verificação do Google.,0,1,0,0,0,0,0,0,0,0,Baixo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
G-224961 é seu código de verificação do Google.,0,1,0,0,0,0,0,0,0,0,Baixo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Código de verificação do Google: G-647825. Não compartilhe.,0,1,0,0,0,0,0,0,0,0,Baixo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
G-572293 é seu código de verificação do Google.,0,1,0,0,0,0,0,0,0,0,Baixo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Código de verificação do Google: G-724452. Não compartilhe.,0,1,0,0,0,0,0,0,0,0,Baixo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Código de verificação do Google: G-970120. Não compartilhe.,0,1,0,0,0,0,0,0,0,0,Baixo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"[SHEIN] Prezado cliente, seu pedido 6070326467684 foi entregue. Confirme a entrega aqui para ganhar pontos: https://s.pro/1/29yc86l",0,0,0,0,0,0,0,1,0,0,Baixo,0,0,0,1,0,0,0,1,1,0,0,0,1,1,
<#> Account: 318493 is your Samsung account verification code. bP2ROrn3fZQ,0,1,0,0,0,0,0,0,0,0,Baixo,0,0,0,0,0,0,0,0,0,0,0,1,0,0,
"Ola <NOME> , Voce recebeu um cupom de desconto RENNER. Acesse: bit.ly/3SJKCsG ou ligue 0800 760 0261",0,0,0,0,0,0,0,1,1,0,Baixo,0,0,0,1,0,0,1,1,1,1,0,1,1,0,
O DESCONTO QUE VOCE ESPERAVA CHEGOU! Regularize sua pendencia com condicoes exclusivas. Acesse: bit.ly/3SJKCsG ou ligueA 0800A 760A 0258,0,0,0,0,0,0,1,1,1,0,Médio,0,0,0,0,0,0,1,1,1,1,0,1,1,0,
"Ola <NOME> , Ate 90% de desconto! Quite seu debito com a Renner e reabilite seu nome. Acesse: bit.ly/3SJKCsG ou ligue 0800 760 0261",0,0,0,0,0,0,1,1,1,0,Médio,0,0,0,0,0,0,1,1,1,1,0,1,1,0,
"Ola <NOME> . Aproveite o mes do consumidor, negocie com ate 95% de desconto. Ligue 0800 760 0261 ou WhatsApp bit.ly/4gJFcHC",0,0,0,0,0,0,1,1,1,0,Baixo,0,0,0,0,0,0,1,1,1,1,0,1,1,0,
Aproveite os descontos e negocie seu cartao Renner com ate 95% de desconto! Acesse bit.ly/InacreditavelRenner ou ligue 0800 760 0261,0,0,0,0,0,0,1,1,1,0,Baixo,0,0,0,0,0,0,1,1,1,1,0,1,1,0,
"<NOME> , fomos autorizados a negociar seu debito com a Renner com ate 95% de desconto. Acesse o link para WhatsApp bit.ly/3SJKCsG ou ligue 0800 760 0261",0,0,0,0,0,0,1,1,1,0,Baixo,0,0,0,0,0,0,1,1,1,1,0,1,1,0,
Ola <NOME> . Aproveite os descontos incriveis de ate 95% que a Renner preparou para voce. Ligue 0800 760 0261 ou WhatsApp bit.ly/4gJFcHC,0,0,0,0,0,0,1,1,1,0,Baixo,0,0,0,0,0,0,1,1,1,1,0,1,1,0,
<NOME> . QUITE OU PARCELE SEU DEBITO COM A RENNER! SOMENTE NOS ANALISAMOS A SUA PROPOSTA DE EXCECAO! LIGUE AGORA 0800 760 0261 ou WhatsApp bit.ly/4gJFcHC,0,0,0,0,0,0,1,1,1,0,Médio,1,0,0,0,0,0,1,1,1,1,0,1,1,0,
Ola <NOME> . Quer mais credito no mercado? Fale com a gente e descubra como conseguir! Ligue 0800 760 0261 ou chame no Whats bit.ly/42yO7rm,0,0,0,0,0,0,0,1,1,0,Baixo,0,0,0,0,0,0,1,1,1,1,0,1,1,0,
Ola <NOME> . Aproveite o limpa nome Renner! Negocie com ate 95% de desconto! Ligue 0800 760 0261 ou WhatsApp bit.ly/42yO7rm,0,0,0,0,0,0,1,1,1,0,Baixo,0,0,0,0,0,0,1,1,1,1,0,1,1,0,
Ola <NOME> . Nome reabilitado? Possiveis novos creditos? Descontos de ate 98% para quitar seu debito Renner! Ligue 0800 760 0261 ou WhatsApp bit.ly/42yO7rm,0,0,0,0,0,0,1,1,1,0,Baixo,0,0,0,0,0,0,1,1,1,1,0,1,1,0,
RETORNO URGENTE! TEMOS INFORMACOES IMPORTANTES! LIGUE AGORA! 0800 760 0261 ou WhatsApp: bit.ly/Informacoes_Urgentes,0,0,0,0,0,0,0,1,1,0,Alto,1,0,1,0,0,0,0,1,1,1,0,1,1,0,
"<NOME>, precisamos falar com voce ainda HOJE, temos uma otima noticia sobre seu debito ITAU CORRENTISTA. Ligue 08007239008",0,0,0,0,0,0,1,0,1,0,Médio,1,0,0,0,0,0,1,0,0,1,0,1,1,0,
<NOME> CPF:467.XXX.XXX-08 precisamos falar com voce URGENTE! Ligue agora: 08007600261 ou WhatsApp bit.ly/4fcfgF4,0,0,0,0,0,0,0,1,1,0,Alto,1,0,1,0,0,0,0,1,1,1,0,1,1,0,
<NOME> ate 97% OFF p/ quitar seu debito RENNER. Somente ate HOJE! Evite restricoes: ACESSE wa.me/5511937032870 ou LIGUE 08007600261,0,0,0,0,0,0,1,1,1,0,Alto,1,0,1,0,0,0,1,1,1,1,0,1,1,0,
<NOME> 97% OFF p/ quitar seu debito RENNER. VALIDO ate HOJE! Evite restricoes: ACESSE wa.me/5511937032870 ou LIGUE 08007600261,0,0,0,0,0,0,1,1,1,0,Alto,1,0,1,0,0,0,1,1,1,1,0,1,1,0,
<NOME> recupere seu relacionamento com a RENNER! condicoes exclusivas. Ligue 0800 760 0261 ou acesse: wa.me/5511937032870,0,0,0,0,0,0,1,1,1,0,Médio,0,0,0,0,0,0,1,1,1,1,0,1,1,0,
<NOME> deu a louca na RENNER! Quite seu debito com ate 98% OFF. Envie sua proposta: wa.me/5511974170685 ou ligue 0800 760 0261,0,0,0,0,0,0,1,1,1,0,Médio,0,0,0,0,0,0,1,1,1,1,0,1,1,0,
